Song Name,Artist,Cover Image URL,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Blinding Lights,The Weeknd,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,0.513,0.73,-5.94,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001
Shape of You,Ed Sheeran,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,0.825,0.652,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977
Someone You Loved,Lewis Capaldi,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,0.501,0.405,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891
As It Was,Harry Styles,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f,0.76,0.478,-5.574,0.0467,0.552,0.0,0.0703,0.913,89.908
Starboy,"The Weeknd, Daft Punk",https://i.scdn.co/image/ab67616d0000b2730c8599cbde51245c128bcea9,0.681,0.594,-7.028,0.282,0.165,3.49e-06,0.134,0.535,186.054
One Dance,"Drake, Wizkid, Kyla",https://i.scdn.co/image/ab67616d0000b273726abca207567d5e41cb9667,0.791,0.619,-5.886,0.0532,0.00784,0.00423,0.351,0.371,103.989
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",https://i.scdn.co/image/ab67616d0000b2738e6551a2944764bc8e33a960,0.591,0.764,-5.484,0.0483,0.0383,0.0,0.103,0.478,169.928
Sweater Weather,The Neighbourhood,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053
Believer,Imagine Dragons,https://i.scdn.co/image/ab67616d0000b2737956bd9a3d7a15e4c2e37cc6,0.779,0.787,-4.305,0.108,0.0524,0.0,0.14,0.708,124.982
Heat Waves,Glass Animals,https://i.scdn.co/image/ab67616d0000b273ab9d1ae18b640b7b0ce390d4,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
Dance Monkey,Tones And I,https://i.scdn.co/image/ab67616d0000b273c6f7af36ecdc3ed6e0a1f169,0.824,0.588,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027
Perfect,Ed Sheeran,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,0.599,0.448,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05
rockstar,"Post Malone, 21 Savage",https://i.scdn.co/image/ab67616d0000b273345f823b6c1dbd3b4cc7b382,0.577,0.522,-6.594,0.0984,0.13,9.03e-05,0.142,0.119,159.772
Say You Won't Let Go,James Arthur,https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab,0.358,0.557,-7.398,0.059,0.695,0.0,0.0902,0.494,85.043
lovely (with Khalid),"Billie Eilish, Khalid",https://i.scdn.co/image/ab67616d0000b2738a3f0a3ca7929dea23cd274c,0.351,0.296,-10.109,0.0333,0.934,0.0,0.095,0.12,115.284
Sunlight,The Hourglass Effect,https://i.scdn.co/image/ab67616d0000b2733009676f624757941c14605c,0.396,0.905,-6.436,0.0738,0.000202,0.191,0.097,0.598,160.003
Closer,"The Chainsmokers, Halsey",https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453,0.748,0.524,-5.599,0.0338,0.414,0.0,0.111,0.661,95.01
Watermelon Sugar,Harry Styles,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,0.548,0.816,-4.209,0.0465,0.122,0.0,0.335,0.557,95.39
